open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1667260800000,54.98,55.23,54.94,55.17,15352.015,1667261099999,845615.64389,1599,8720.085,480424.77095,0
1667261100000,55.17,55.22,55.07,55.16,13152.397,1667261399999,725329.64867,1288,8580.854,473262.20032,0
1667261400000,55.17,55.31,55.11,55.26,8713.534,1667261699999,481410.86834,1178,4242.534,234402.87024,0
1667261700000,55.26,55.29,55.12,55.15,4985.942,1667261999999,275290.05733,849,3074.828,169741.96715,0
1667262000000,55.16,55.18,55.03,55.03,4497.775,1667262299999,247837.06426,720,2275.977,125422.10934,0
1667262300000,55.02,55.04,54.95,54.99,5434.153,1667262599999,298849.06447,783,2526.140,138932.87232,0
1667262600000,54.99,55.04,54.96,55.00,3195.767,1667262899999,175729.57383,572,2065.691,113595.30811,0
1667262900000,55.01,55.35,55.00,55.18,12649.387,1667263199999,698201.35341,1440,6126.545,338087.49379,0
1667263200000,55.19,55.21,55.04,55.04,6858.898,1667263499999,378185.21325,963,3346.778,184534.61545,0
1667263500000,55.05,55.10,54.98,55.00,6690.790,1667263799999,368370.66657,778,3515.527,193554.98388,0
1667263800000,55.00,55.04,54.95,54.99,4203.868,1667264099999,231189.74930,548,2712.665,149191.62692,0
1667264100000,55.00,55.02,54.93,54.94,4869.662,1667264399999,267709.42426,543,2059.387,113228.06981,0
1667264400000,54.94,55.00,54.90,54.99,6418.132,1667264699999,352587.33352,848,4004.520,220009.52156,0
1667264700000,54.99,55.03,54.93,55.03,3935.022,1667264999999,216277.80037,502,2236.577,122933.48074,0
1667265000000,55.02,55.15,55.02,55.03,4785.885,1667265299999,263630.88404,711,2933.457,161592.67744,0
1667265300000,55.04,55.07,54.96,55.07,3374.797,1667265599999,185667.84143,610,1723.998,94842.32863,0
1667265600000,55.08,55.22,55.06,55.11,5905.171,1667265899999,325584.85403,941,3330.014,183588.30397,0
1667265900000,55.12,55.22,55.10,55.21,4290.889,1667266199999,236634.97996,538,2211.508,121957.00533,0
1667266200000,55.21,55.25,55.14,55.24,7418.469,1667266499999,409443.97240,894,3212.668,177313.66969,0
1667266500000,55.24,55.27,55.16,55.17,3078.502,1667266799999,169979.88305,487,1724.049,95202.17284,0
1667266800000,55.16,55.17,55.03,55.04,9394.309,1667267099999,517493.76139,757,2740.129,150983.90851,0
1667267100000,55.03,55.15,55.02,55.09,2661.155,1667267399999,146603.74304,466,1379.788,76006.76411,0
1667267400000,55.10,55.14,55.04,55.10,2840.912,1667267699999,156474.91129,425,1550.178,85383.41386,0
1667267700000,55.10,55.12,55.06,55.12,1481.183,1667267999999,81589.67105,403,519.931,28643.79279,0
1667268000000,55.11,55.17,55.01,55.03,4427.988,1667268299999,244074.98988,603,1984.954,109441.09288,0
1667268300000,55.02,55.11,55.02,55.04,3440.640,1667268599999,189436.12886,471,1491.539,82128.30857,0
1667268600000,55.04,55.09,55.03,55.08,2338.117,1667268899999,128712.06610,358,1543.520,84974.91976,0
1667268900000,55.09,55.09,54.99,55.00,2702.865,1667269199999,148700.53897,492,1057.238,58171.93298,0
1667269200000,54.99,55.04,54.98,55.04,1441.315,1667269499999,79289.42228,391,932.246,51286.47295,0
1667269500000,55.04,55.09,55.03,55.04,2680.168,1667269799999,147583.92219,420,1673.376,92147.80286,0
1667269800000,55.04,55.16,55.02,55.05,4492.185,1667270099999,247506.41493,572,2867.150,157988.70309,0
1667270100000,55.05,55.20,55.05,55.09,7571.713,1667270399999,417524.05487,689,4074.113,224658.07093,0
1667270400000,55.09,55.14,55.09,55.10,2249.481,1667270699999,123970.16517,334,872.246,48069.41555,0
1667270700000,55.11,55.22,55.10,55.19,4201.226,1667270999999,231785.59781,494,2525.991,139347.65320,0
1667271000000,55.19,55.23,55.14,55.15,4754.771,1667271299999,262405.09620,526,2210.284,121994.64524,0
1667271300000,55.14,55.23,55.13,55.20,3813.774,1667271599999,210477.85803,415,1788.320,98683.91607,0
1667271600000,55.20,55.27,55.15,55.21,5363.461,1667271899999,296178.86165,926,2928.103,161688.46778,0
1667271900000,55.20,55.21,55.12,55.15,4952.775,1667272199999,273243.00513,562,2352.790,129800.77016,0
1667272200000,55.16,55.16,55.09,55.11,2698.415,1667272499999,148731.00420,466,1092.978,60249.88758,0
1667272500000,55.11,55.14,55.06,55.10,4069.549,1667272799999,224220.11624,498,2091.162,115227.47535,0
1667272800000,55.09,55.10,55.06,55.06,1314.917,1667273099999,72434.47537,282,882.604,48620.23423,0
1667273100000,55.07,55.07,55.00,55.00,2896.784,1667273399999,159404.85801,428,1069.616,58866.10031,0
1667273400000,55.01,55.04,54.99,55.01,2992.176,1667273699999,164605.56045,529,1862.540,102465.20495,0
1667273700000,55.02,55.03,55.00,55.02,2809.766,1667273999999,154586.16251,315,1162.237,63946.26710,0
1667274000000,55.03,55.04,55.01,55.01,1425.014,1667274299999,78413.29576,236,881.157,48489.41129,0
1667274300000,55.01,55.02,54.88,54.93,6591.063,1667274599999,362053.46726,703,2374.976,130450.09558,0
1667274600000,54.93,54.98,54.92,54.98,3536.493,1667274899999,194353.01576,384,2246.007,123432.33534,0
