iter	RMSE
0	0.6836648547
1	0.6678913885
2	0.6518701645
3	0.6371698517
4	0.6235771014
5	0.6101786306
6	0.5972212391
7	0.5849092257
8	0.573463779
9	0.5620752221
10	0.5525458898
11	0.5428548466
12	0.5334993233
13	0.5242251294
14	0.5158883917
15	0.507727013
16	0.4998967051
17	0.4923471434
18	0.4857119224
19	0.4782538538
20	0.4715363902
21	0.465683051
22	0.4601367145
23	0.4544277883
24	0.4500739707
25	0.4452669197
26	0.4411463634
27	0.4373294332
28	0.4335646215
29	0.4294402188
30	0.4265538429
31	0.42300266
32	0.4196071865
33	0.4164378522
34	0.4136424349
35	0.4106945599
36	0.4079460332
37	0.4050206174
38	0.4021925281
39	0.4003296309
40	0.3978121203
41	0.3956661141
42	0.393671432
43	0.3914744503
44	0.3896479565
45	0.3878369514
46	0.3863235968
47	0.3848586056
48	0.3830139843
49	0.3814219603
50	0.3798805904
51	0.3781940419
52	0.3767558108
53	0.3751438112
54	0.373354567
55	0.3719756593
56	0.3705541379
57	0.3691943034
58	0.3676317795
59	0.3667729397
60	0.3658665577
61	0.3650381047
62	0.3638784908
63	0.3629350564
64	0.3619791153
65	0.3608252603
66	0.3598378244
67	0.358825586
68	0.3577317024
69	0.3568976933
70	0.3561049334
71	0.3548204349
72	0.353879116
73	0.3531365448
74	0.352294746
75	0.3516808535
76	0.3512343907
77	0.3503036703
78	0.3498925852
79	0.349326062
80	0.3483360354
81	0.3473951454
82	0.3469964324
83	0.3461377822
84	0.3453003745
85	0.344901002
86	0.3441497738
87	0.343608968
88	0.3430671129
89	0.3423649303
90	0.3414428985
91	0.3408968779
92	0.3404947279
93	0.3399139237
94	0.3391396256
95	0.3388425776
96	0.3382595898
97	0.3374372672
98	0.3369229876
99	0.3365479932
100	0.3359310761
101	0.3351208247
102	0.3346286753
103	0.3343108256
104	0.333865208
105	0.3329537068
106	0.3323069343
107	0.331968409
108	0.3314295568
109	0.3309968018
110	0.3304821271
111	0.3301668231
112	0.3296163934
113	0.3291046596
114	0.3287239904
115	0.3284162511
116	0.3281792798
117	0.3274115831
118	0.3269865675
119	0.3264483398
120	0.3259827726
121	0.3253837018
122	0.3250391256
123	0.3244773018
124	0.3242433029
125	0.3239764831
126	0.3236790144
127	0.3231421561
128	0.3227169165
129	0.3224393624
130	0.3221836343
131	0.3219214036
132	0.3216284959
133	0.3214151369
134	0.3209194914
135	0.3205914085
136	0.3203852592
137	0.3199636956
138	0.3195991345
139	0.3192727189
140	0.3190234792
141	0.3187044798
142	0.3181876162
143	0.3178189749
144	0.3175929925
145	0.3171568054
146	0.3167270495
147	0.316187183
148	0.3158839873
149	0.3151769903
150	0.3149743909
151	0.3147416502
152	0.3145779191
153	0.3141273274
154	0.3139102084
155	0.3136161873
156	0.313098453
157	0.3128336747
158	0.3123847656
159	0.3121665258
160	0.3118954642
161	0.3115639005
162	0.3110415572
163	0.3107559171
164	0.3103779182
165	0.3097962868
166	0.3096510035
167	0.3094111662
168	0.309046546
169	0.3087458899
170	0.308430439
171	0.3081476723
172	0.3079022931
173	0.3076460428
174	0.3071875567
175	0.3069110956
176	0.3063964308
177	0.3060178674
178	0.3058414641
179	0.3057011765
180	0.3054969832
181	0.3052434779
182	0.3047762518
183	0.3044898993
184	0.3042604484
185	0.3040447835
186	0.3039097973
187	0.3037472148
188	0.3036045042
189	0.3034367233
190	0.3029779084
191	0.3026288186
192	0.3024653688
193	0.3023267771
194	0.3020353947
195	0.3018442895
196	0.3013133799
197	0.3009784969
198	0.3005837341
199	0.3003772204
200	0.2998677408
201	0.2996142549
202	0.2993322959
203	0.2991337099
204	0.2988738673
205	0.2983101083
206	0.2977687133
207	0.2974447665
208	0.2969773217
209	0.2966621999
210	0.2964379892
211	0.2962809831
212	0.2956870489
213	0.2954783625
214	0.2954022099
215	0.2952758841
216	0.2948534797
217	0.294617198
218	0.2945310648
219	0.2941632618
220	0.2939424462
221	0.2933828442
222	0.2929085564
223	0.2926342458
224	0.2924941717
225	0.2922203872
226	0.2921318996
227	0.2919237702
228	0.2917674857
229	0.2914949746
230	0.291263825
231	0.2906995982
232	0.2906045621
233	0.2904772191
234	0.2900309943
235	0.2898856472
236	0.2897447047
237	0.2894560421
238	0.289215916
239	0.288914524
240	0.2883898546
241	0.2881154218
242	0.2880051462
243	0.2874311503
244	0.287198169
245	0.287165237
246	0.2868798911
247	0.2867170163
248	0.2864477313
249	0.2863493278
250	0.2861005015
251	0.2859425809
252	0.2856348117
253	0.2854099493
254	0.2851542309
255	0.2849172091
256	0.2844966767
257	0.2842848332
258	0.2841429745
259	0.2840919048
260	0.2838853865
261	0.2834302734
262	0.2833272179
263	0.28321147
264	0.2829623261
265	0.282879768
266	0.282639105
267	0.2821897052
268	0.2820772602
269	0.2816811627
270	0.2814372235
271	0.2813281352
272	0.2806820596
273	0.2804298814
274	0.2802500238
275	0.2799243165
276	0.279695933
277	0.2790768916
278	0.2789896078
279	0.2789302489
280	0.2786909358
281	0.2784689962
282	0.2784166869
283	0.2778451604
284	0.2777401747
285	0.2775698329
286	0.2773489727
287	0.2772630434
288	0.2771098402
289	0.2763990824
290	0.2760536595
291	0.2758365857
292	0.2755872808
293	0.275555399
294	0.2755059793
295	0.2752382074
296	0.2750310001
297	0.2746234755
298	0.2743424763
299	0.2739130331
300	0.2735367526
301	0.2732179023
302	0.2729666855
303	0.2727469826
304	0.2724860773
305	0.2722743664
306	0.2721418574
307	0.2719120578
308	0.2715034829
309	0.2712859349
310	0.271259461
311	0.2710813743
312	0.2708585954
313	0.2706296355
314	0.2703704535
315	0.2702642809
316	0.2701478762
317	0.2696294494
318	0.2694655331
319	0.2693786552
320	0.2692789271
321	0.2690749485
322	0.2690488258
323	0.2689521364
324	0.2688701592
325	0.2685474907
326	0.2684856896
327	0.2682938832
328	0.2678489154
329	0.2674931316
330	0.2672196614
331	0.2668442066
332	0.2665045087
333	0.2664120615
334	0.2661049035
335	0.2658344097
336	0.2656238689
337	0.2652880696
338	0.2648373607
339	0.2646308058
340	0.2643024708
341	0.2641810941
342	0.2639711377
343	0.2635575473
344	0.2632993007
345	0.2630911735
346	0.262995579
347	0.2628921501
348	0.2627149162
349	0.2624787905
350	0.2623165553
351	0.2621413478
352	0.2619577289
353	0.2618622235
354	0.2617326504
355	0.2614074365
356	0.2608664195
357	0.2604696398
358	0.260274345
359	0.2600251526
360	0.259864028
361	0.2596118243
362	0.2593810439
363	0.2592857782
364	0.2589974746
365	0.2587302582
366	0.258543347
367	0.2584962438
368	0.2581673337
369	0.2578442625
370	0.257663571
371	0.2575745786
372	0.2574012814
373	0.2567958103
374	0.2566002956
375	0.2563987448
376	0.2562156447
377	0.256094959
378	0.2556070194
379	0.2554550196
380	0.2553679001
381	0.2551863431
382	0.2549805916
383	0.2547082461
384	0.2545911511
385	0.254219822
386	0.2536542701
387	0.2531121993
388	0.2527392044
389	0.2524846085
390	0.2523846267
391	0.2522984473
392	0.2520279485
393	0.2518242359
394	0.2517362014
395	0.2514875636
396	0.2513407394
397	0.2511102475
398	0.250918033
399	0.2507785744
400	0.2506087244
401	0.2504574902
402	0.2502437576
403	0.2501919068
404	0.2501649954
405	0.2500499955
406	0.2497917725
407	0.2495749515
408	0.2494917205
409	0.2492717352
410	0.2490387814
411	0.2486738696
412	0.2485112692
413	0.2483481223
414	0.2481967912
415	0.2481046535
416	0.2479602499
417	0.2477728202
418	0.2476379762
419	0.2474606813
420	0.2471539387
421	0.2470803639
422	0.2468716334
423	0.2465196942
424	0.2464742472
425	0.2463150972
426	0.2460633984
427	0.2458818412
428	0.2457961281
429	0.2453477092
430	0.2451774088
431	0.2449348801
432	0.2447515748
433	0.2446909537
434	0.244205489
435	0.2439104469
436	0.2436779969
437	0.2435444073
438	0.2434757806
439	0.2433080372
440	0.2431728337
441	0.2430005136
442	0.2427162096
443	0.242535893
444	0.2423389191
445	0.2421323899
446	0.2419330442
447	0.2418682992
448	0.2418350204
449	0.2417433769
450	0.2413075985
451	0.2412301681
452	0.2411527232
453	0.2409712457
454	0.2407412713
455	0.2406190308
456	0.2405574327
457	0.2404822773
458	0.2403426627
459	0.2401997148
460	0.2400711054
461	0.2399620398
462	0.2398003805
463	0.2393360107
464	0.2392061956
465	0.2391013375
466	0.2388273637
467	0.238519322
468	0.2383304849
469	0.2379248541
470	0.2377033397
471	0.2376316861
472	0.237542775
473	0.2373116963
474	0.2370560987
475	0.2368833715
476	0.2368179341
477	0.2367191077
478	0.2366036607
479	0.2365196533
480	0.2363250429
481	0.2362781041
482	0.2361587175
483	0.236122708
484	0.2356897243
485	0.2356101519
486	0.235194716
487	0.2349596653
488	0.2348532276
489	0.2347680451
490	0.2345590984
491	0.2343258889
492	0.2342699092
493	0.2341381564
494	0.2340735625
495	0.2339401794
496	0.2338200834
497	0.2337591253
498	0.2336494507
499	0.2336093473
500	0.2335189192
501	0.2331204351
502	0.2329476317
503	0.2328830948
504	0.2327886446
505	0.2326619595
506	0.232380473
507	0.2323570918
508	0.2320277975
509	0.2319241125
510	0.2316634767
511	0.2315647813
512	0.2314842877
513	0.2313089974
514	0.2310892153
515	0.2309689872
516	0.2308301475
517	0.2305182239
518	0.2304760986
519	0.2304065323
520	0.2300205795
521	0.2298241989
522	0.2297549524
523	0.2296514691
524	0.229588899
525	0.2295081836
526	0.2292398696
527	0.2292089549
528	0.2290315475
529	0.228912023
530	0.2288511891
531	0.2287122745
532	0.2283661978
533	0.2282583573
534	0.2279638697
535	0.2278606834
536	0.2277846393
537	0.227614198
538	0.2274962366
539	0.2274243454
540	0.227130237
541	0.2268463953
542	0.2267917552
543	0.2267491028
544	0.2264056986
545	0.2262579731
546	0.2260551031
547	0.2258895001
548	0.2257919078
549	0.2257606376
550	0.2255313237
551	0.2253539779
552	0.2251148984
553	0.2249965803
554	0.2248623825
555	0.2246327369
556	0.2245459355
