iter	Passed	Remaining
0	1	1565
1	3	1623
2	4	1577
3	6	1564
4	7	1504
5	8	1447
6	9	1404
7	11	1385
8	12	1361
9	13	1360
10	15	1413
11	16	1394
12	18	1385
13	19	1368
14	20	1360
15	21	1346
16	23	1330
17	24	1317
18	25	1314
19	26	1304
20	27	1304
21	29	1297
22	30	1300
23	31	1299
24	33	1300
25	34	1290
26	35	1285
27	36	1283
28	38	1281
29	39	1273
30	40	1269
31	41	1267
32	43	1262
33	44	1258
34	46	1279
35	47	1280
36	49	1276
37	50	1272
38	51	1269
39	52	1264
40	53	1257
41	54	1253
42	56	1250
43	57	1245
44	58	1239
45	59	1234
46	60	1233
47	62	1232
48	63	1229
49	64	1228
50	65	1226
51	67	1225
52	68	1222
53	69	1219
54	70	1219
55	72	1216
56	73	1215
57	74	1214
58	76	1220
59	78	1227
60	80	1232
61	81	1237
62	83	1242
63	85	1252
64	88	1266
65	89	1270
66	91	1269
67	92	1274
68	96	1298
69	99	1324
70	102	1347
71	106	1370
72	109	1393
73	126	1581
74	136	1687
75	138	1689
76	140	1686
77	142	1682
78	147	1719
79	153	1767
80	155	1762
81	156	1755
82	158	1748
83	159	1739
84	162	1751
85	164	1746
86	165	1738
87	166	1729
88	168	1719
89	170	1721
90	171	1715
91	173	1712
92	175	1708
93	177	1708
94	178	1704
95	181	1705
96	183	1705
97	184	1702
98	197	1795
99	203	1834
100	218	1947
101	222	1960
102	224	1955
103	226	1951
104	238	2036
105	240	2027
106	241	2018
107	243	2010
108	244	2000
109	245	1990
110	247	1984
111	250	1984
112	252	1982
113	254	1977
114	256	1973
115	258	1966
116	259	1960
117	261	1955
118	263	1947
119	264	1939
120	265	1931
121	267	1923
122	272	1942
123	273	1932
124	274	1924
125	276	1916
126	277	1906
127	278	1897
128	279	1888
129	282	1889
130	283	1880
131	284	1872
132	286	1864
133	287	1859
134	288	1851
135	290	1844
136	291	1837
137	292	1828
138	293	1820
139	295	1814
140	296	1806
141	297	1800
142	299	1793
143	300	1785
144	301	1779
145	303	1772
146	304	1765
147	305	1757
148	306	1751
149	307	1744
150	309	1738
151	310	1732
152	314	1738
153	315	1733
154	317	1731
155	319	1728
156	321	1724
157	322	1721
158	324	1717
159	326	1714
160	329	1714
161	330	1708
162	331	1702
163	333	1699
164	336	1700
165	337	1694
166	338	1688
167	339	1682
168	340	1675
169	341	1669
170	343	1663
171	344	1657
172	345	1651
173	346	1645
174	347	1639
175	349	1634
176	350	1628
177	351	1623
178	352	1618
179	355	1617
180	356	1614
181	358	1609
182	359	1603
